perimetre,millesime,tarif,rang,taux_taxation,composante_carbone,boucliers_et_aides,prix_quotas_ets,prix_reel_quotas_ets,remboursement_indirect_ets,quantite,unite_tarif,unite_quantite
Carbone,2017,9.046279374,2,3.272827282728273,0.0,0.0,5.77345209116945,5.77345209116945,0.0,0.006481713,euro/tCO2,MtCO2
Carbone,2017,9.267696864,1,3.494244773314541,0.0,0.0,5.77345209116945,0.0,0.0,0.728350334,euro/tCO2,MtCO2
Carbone,2017,9.267696864,2,3.494244773314541,0.0,0.0,5.77345209116945,5.77345209116945,0.0,0.150462491,euro/tCO2,MtCO2
Carbone,2017,13.341514866,1,7.568062775089124,0.0,0.0,5.77345209116945,1.828568258520311,3.94488383264914,16.285066629,euro/tCO2,MtCO2
Carbone,2017,13.341514866,2,7.568062775089124,0.0,0.0,5.77345209116945,0.0,0.0,14.288366815,euro/tCO2,MtCO2
Carbone,2017,13.341514866,3,7.568062775089124,0.0,0.0,5.77345209116945,5.77345209116945,0.0,3.315877747,euro/tCO2,MtCO2
Carbone,2017,14.386255821,1,14.38625582107005,0.0,0.0,0.0,0.0,0.0,8.695812117,euro/tCO2,MtCO2
Carbone,2017,16.5,1,0.0,0.0,0.0,16.5,0.0,0.0,14.426271729,euro/tCO2,MtCO2
Carbone,2017,28.989737198,1,28.989737198124,30.5,0.0,0.0,0.0,0.0,28.945940268,euro/tCO2,MtCO2
Carbone,2017,29.05,1,29.05,0.0,0.0,0.0,0.0,0.0,11.392765424,euro/tCO2,MtCO2
Carbone,2017,29.276453367,1,29.27645336679214,30.5,0.0,0.0,0.0,0.0,15.903565871,euro/tCO2,MtCO2
Carbone,2017,29.82414212,1,29.82414212025254,30.5,0.0,0.0,0.0,0.0,0.878526685,euro/tCO2,MtCO2
Carbone,2017,30.576923077,1,30.57692307692307,30.5,0.0,0.0,0.0,0.0,0.156758692,euro/tCO2,MtCO2
Carbone,2017,35.049905458,1,29.27645336679214,30.5,0.0,5.77345209116945,0.0,0.0,1.008138147,euro/tCO2,MtCO2
Carbone,2017,35.049905458,2,29.27645336679214,30.5,0.0,5.77345209116945,5.77345209116945,0.0,0.059719275,euro/tCO2,MtCO2
Carbone,2017,36.350375168,1,30.57692307692307,30.5,0.0,5.77345209116945,0.0,0.0,0.401093779,euro/tCO2,MtCO2
Carbone,2017,36.350375168,2,30.57692307692307,30.5,0.0,5.77345209116945,5.77345209116945,0.0,0.072592845,euro/tCO2,MtCO2
Carbone,2017,43.886638982,1,43.88663898197647,30.5,0.0,0.0,0.0,0.0,12.803332244,euro/tCO2,MtCO2
Carbone,2017,44.32068945,1,44.32068944951394,30.5,0.0,0.0,0.0,0.0,7.194682826,euro/tCO2,MtCO2
Carbone,2017,49.641878819,1,49.64187881854744,30.5,0.0,0.0,0.0,0.0,2.93326736,euro/tCO2,MtCO2
Carbone,2017,50.094141541,1,44.32068944951394,30.5,0.0,5.77345209116945,0.0,0.0,0.115268691,euro/tCO2,MtCO2
